sno	Title	Headline	ShortDesc	Category	Location	Country	US	Distance	Count_update	Count_comment	Count_funder	Count_photo	Amount_goal	Amount_Raised	Amount_currency	Ratio	Time_Left	Current	Type	Start_year	Start_month	Start_day	End_year	End_month	End_day	Duration	Min_perk	No_min_perk	Max_perk	No_max_perk	Median_perk	No_med_perk	Total_perk	FB_like	FB_talking	Tweet_follow	Tweet_status	Youtube_avg_duration	Youtube_avg_view_count	Youtube_avg_rating
0	the-wizewell-app	The WizeWell App	Imagine an interactive app that makes mindful relating, focused attention, and innovative thinking more easy.	Technology	Santa Cruz, California, United States	United States	0	0	1	10	21	3	10000	1400	SD 	0.14	0	1	 Flexible Funding 	2013	5	10	2013	6	19	3456000	5	0	2500	0	62.5	0	8	0	0	0	0	195	2223	5
1	youtube-anywhere-for-moodle	Youtube Anywhere for Moodle	Imagine recording a quick video right from Moodle with just a click of the mouse. We strive to accomplish this feature for the open source Moodle community.	Technology	Baltimore, Maryland, United States	United States	0	0	3	10	21	2	1350	1400	SD 	1.037037037	0	1	 Fixed Funding 	2013	3	20	2013	4	16	2332800	25	13	100	5	62.5	0	2	0	0	0	0	0	0	0
2	liteclick-bluetooth-e0bled-colourful-led-lighting-system		LiTeClick is the World's first iOS - Android multi platform Bluetooth-e0bled lighting system!	Technology	Budapest, Hungary	Hungary	0	0	0	9	25		24000	1399	SD 	0.0582916667	36	1	 Flexible Funding 	2013	10	20	2013	12	4	3888000	1	1	180	1	64	0	13	0	0	0	0	80.5	3331	2.5
3	ez-charge-stranded-in-space-or-a-desert-island-no-problem-ez-charge-your-phone		No Power... No Battery...No Problem!  Free Electricity!  An Invention that defies logic!  Think outside the box! No main power, battery or solar needed!	Technology	Northfield, Connecticut, United States	United States	0	0	33	113	16	2	300000	1397	SD 	0.0046566667	0	1	 Flexible Funding 	2013	9	9	2013	10	24	3888000	5	0	10000	0	159	0	13	0	0	0	0	389	483	5
4	cellhelmet-screen-protectors-scratched-glass-coverage	cellhelmet Screen Protectors - Scratched Glass Coverage	Scratched glass coverage for your mobile device.  If you scratch it - we replace it.	Technology	Pittsburgh, Pennsylvania, United States	United States	0	0	7	81	79	5	10000	1397	SD 	0.1397	0	1	 Flexible Funding 	2012	8	13	2012	9	12	2592000	10	3	45	0	19	0	10	0	0	0	0	357.6	661190.25	4.472760535
5	credible-companies-let-us-write-about-you-or-your-company		Do you need more web traffic?  How about recommendation and more backlinks, too?  We do reviews and publicize it.  Great opportunity!	Technology	Denver, Colorado, United States	United States	0	0	2	5	14	4	3000	1390	SD 	0.4633333333	0	1	 Flexible Funding 	2013	6	12	2013	6	30	1555200	2	1	550	1	85	0	8	0	0	0	0	0	0	0
6	electric-dreams-the-road-to-indy	Electric Dreams - The Road To Indy	We are building an Electric Indy car for Earth Day 2013. It will premier at the Long Beach Grand Prix running exhibition laps.	Technology	San Diego, California, United States	United States	0	0	9	15	11	34	77500	1385	SD 	0.0178709677	0	1	 Fixed Funding 	2012	11	16	2013	1	1	3974400	10	2	50000	0	300	0	12	0	0	0	0	40	89	0
7	propelu-the-ultimate-mobile-tool-to-unlock-your-true-potential		"""propelU is your vitamin store, gym   spa for the brain. Delivering nutrients and exercises to your mind throughout the day, so you feel and perform your best."	Technology	Miami Beach, United States	United States	0	0	0	13	30	3	100000	1382	SD 	0.01382	0	1	 Flexible Funding 	2013	5	6	2013	6	7	2764800	1	1	7500	0	112.5	0	10	0	0	0	0	0	0	0
8	new-software-to-stop-drunk-driving	New Software to Stop Drunk Driving	Most drunk drivers are unknown to police. Our software identifies drunk drivers before they crash.	Technology	Saint John, New Brunswick, Ca0da	Ca0da	0	0	3	7	32	2	230000	1380	SD 	0.006	0	1	 Flexible Funding 	2013	5	6	2013	7	5	5184000	10	7	10000	0	300	0	8	260	0	0	0	0	0	0
9	webee-universe-smart-learning-spaces	Webee Universe - Smart Spaces	Smart, affordable and Plug and Play smart home learning system.	Technology	Miami, Florida, United States	United States	0	0	0	17	15	1	100000	1376	SD 	0.01376	32	1	 Flexible Funding 	2013	11	20	2014	1	5	3974400	50	0	4999	0	999	0	7	603	185	0	0	252	1348	5
