Count_update,Count_comment,Count_funder,Count_photo,Amount_goal,Start_month,End_month,Duration,Min_perk,No_min_perk,Max_perk,No_max_perk,Median_perk,No_med_perk,Total_perk,FB_like,FB_talking,Youtube_avg_duration,Youtube_avg_view_count,Youtube_avg_rating,US,newtype,status,lat,lon,recoded_country,Mintotal,Maxtotal,Mediantotal
1,10,21,3,10000,5,6,40,5,0,2500,0,62.5,0,8,0,0,195,2223,5,1,0,3,36.9741171,-122.0307963,0,0,0,0
3,10,21,2,1350,3,4,27,25,13,100,5,62.5,0,2,0,0,0,0,0,1,1,1,39.2903848,-76.6121893,0,325,500,0
0,9,25,0,24000,10,12,45,1,1,180,1,64,0,13,0,0,80.5,3331,2.5,0,0,3,47.497912,19.040235,1,1,180,0
33,113,16,2,300000,9,10,45,5,0,10000,0,159,0,13,0,0,389,483,5,1,0,3,41.6948193,-73.1106655,0,0,0,0
7,81,79,5,10000,8,9,30,10,3,45,0,19,0,10,0,0,357.6,661190.25,4.472760535,1,0,3,40.4406248,-79.9958864,0,30,0,0
2,5,14,4,3000,6,6,18,2,1,550,1,85,0,8,0,0,0,0,0,1,0,3,39.737567,-104.9847179,0,2,550,0
9,15,11,34,77500,11,1,46,10,2,50000,0,300,0,12,0,0,40,89,0,1,1,3,32.7153292,-117.1572551,0,20,0,0
0,13,30,3,100000,5,6,32,1,1,7500,0,112.5,0,10,0,0,0,0,0,1,0,3,25.790654,-80.1300455,0,1,0,0
3,7,32,2,230000,5,7,60,10,7,10000,0,300,0,8,260,0,0,0,0,0,0,3,45.2733153,-66.0633081,2,70,0,0
0,17,15,1,100000,11,1,46,50,0,4999,0,999,0,7,603,185,252,1348,5,1,0,3,25.7889689,-80.2264393,0,0,0,0
0,17,34,0,10000,11,1,47,1,1,10000,0,60,0,6,0,0,0,0,0,1,0,3,28.5999998,-81.3392352,0,1,0,0
1,2,12,0,3000,12,1,33,5,0,300,1,17,4,7,0,0,0,0,0,1,0,3,30.267153,-97.7430608,0,0,300,68
3,7,27,0,4500,10,12,45,10,1,575,0,59.5,0,6,0,0,175.3333333333,352.6666666667,2.6666666667,0,1,3,55.54355,13.95484,3,10,0,0
3,27,26,0,25000,8,9,35,27,7,5000,0,150,2,11,0,0,0,0,0,1,0,3,37.3860517,-122.0838511,0,189,0,300
8,6,14,11,350000,2,3,45,1,6,120000,0,600,0,9,0,0,1309.4,10432.95,4.312512855,0,0,3,47.070714,15.439504,4,6,0,0
0,2,16,0,25000,4,4,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,40.6110589,-111.8999353,0,0,0,0
0,19,15,0,30000,10,12,52,2,2,2,2,2,2,9,0,0,0,0,0,0,0,3,52.09179,5.1145699,5,4,4,4
3,30,44,0,150000,10,11,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,51.5112139,-0.1198244,6,0,0,0
0,5,13,13,500000,1,3,61,1,1,20000,0,175,0,8,94,0,0,0,0,0,0,3,0,0,7,1,0,0
3,6,8,4,30000,11,1,46,1,0,225,2,17.5,0,14,496,128,96.3333333333,173.6666666667,5,1,0,3,37.7749295,-122.4194155,0,0,450,0
10,28,27,10,70000,9,12,91,5,3,10000,0,175,0,10,2394,1,106.6,139.4,3,1,0,3,0,0,0,15,0,0
0,4,9,3,12000,5,6,30,5,0,500,0,65,0,6,0,0,0,0,0,0,0,3,47.497912,19.040235,1,0,0,0
2,6,3,2,3000,1,3,67,5,1,1000,0,137.5,0,4,0,0,102,753,5,0,0,3,48.1458923,17.1071373,8,5,0,0
0,3,8,0,50000,10,12,55,10,0,1000,0,75,0,6,20,0,0,0,0,1,0,3,0,0,0,0,0,0
2,3,7,0,75000,4,5,45,5,0,1000,0,150,0,5,0,0,0,0,0,1,0,3,30.421309,-87.2169149,0,0,0,0
5,4,30,4,3000,4,5,30,2,1,1500,0,50,9,11,0,0,0,0,0,0,0,3,55.6760968,12.5683371,9,2,0,450
0,11,16,0,5000,10,11,28,10,2,1000,0,100,2,5,0,0,0,0,0,0,0,3,49.8997541,-97.1374937,2,20,0,200
0,6,13,3,25000,8,10,45,15,0,399,0,69.5,0,10,0,0,565.4,1688548.3,4.29298058,1,0,3,38.9072309,-77.0364641,0,0,0,0
0,3,18,0,27000,11,12,28,1,3,1500,0,23,0,11,4,0,191,10,0,1,1,3,41.0072222,-91.9658333,0,3,0,0
0,8,24,3,25000,11,1,60,25,2,2500,0,67.5,0,8,232,8,0,0,0,1,0,3,40.7143528,-74.0059731,0,50,0,0
5,7,28,5,1000,9,10,30,1,12,100,8,40,0,5,0,0,0,0,0,1,0,1,34.0522342,-118.2436849,0,12,800,0
1,11,64,0,560,2,2,7,4,19,20,43,12,0,2,0,0,0,0,0,1,1,1,38.9072309,-77.0364641,0,76,860,0
1,0,31,0,100000,9,10,30,30,23,170,1,65,4,5,0,0,0,0,0,1,0,3,35.612661,-77.3663538,0,690,170,260
1,1,10,2,50000,7,8,30,7,1,9799,0,2249,0,12,0,0,0,0,0,1,0,3,39.4195499,-76.7802528,0,7,0,0
14,10,16,21,20000,4,5,56,5,3,1000,0,100,1,7,48,2,0,0,0,1,0,3,43.6187102,-116.2146068,0,15,0,100
13,26,32,3,1000,4,5,30,5,2,10000,0,175,0,10,44,0,0,0,0,1,0,1,0,0,0,10,0,0
10,14,10,6,25000,8,9,45,5,0,500,1,40,0,6,31,0,0,0,0,1,0,3,29.4241219,-98.4936282,0,0,500,0
5,5,5,10,50000,12,2,45,10,1,10000,0,250,0,11,0,0,144.6666666667,3220865.5,1.6589334,1,0,3,0,0,0,10,0,0
0,12,22,0,850,1,3,65,10,2,45,10,35,8,3,0,0,0,0,0,0,0,1,0,0,6,20,450,280
3,9,33,0,10000,7,8,41,1,2,5000,0,75,0,11,0,0,0,0,0,0,0,3,45.4215296,-75.6971931,2,2,0,0
8,9,24,6,10000,5,6,30,5,10,1000,0,75,2,9,359,32,0,0,0,1,0,3,39.9611755,-82.9987942,0,50,0,150
0,23,22,12,50000,9,11,60,5,5,310,0,89,8,7,0,0,0,0,0,1,0,3,39.7458333,-75.5466667,0,25,0,712
0,4,29,0,10000,8,10,45,10,7,5000,0,125,3,7,0,0,0,0,0,1,0,3,33.7489954,-84.3879824,0,70,0,375
0,1,7,0,10000,7,8,30,25,0,500,1,100,1,5,0,0,0,0,0,1,0,3,40.5187154,-74.4120953,0,0,500,100
0,6,5,1,120000,9,11,45,5,0,1000,1,50,2,7,0,0,0,0,0,0,1,3,-37.814107,144.96328,10,0,1000,100
6,10,3,0,90000,11,12,33,2,1,2,1,2,1,1,0,0,0,0,0,0,1,3,50.154354,8.52797,11,2,2,2
26,33,25,9,30000,9,10,57,1,6,3999,0,71.5,0,8,578,0,0,0,0,0,0,3,3.139003,101.686855,12,6,0,0
8,24,21,45,200000,6,8,40,10,0,55,1,55,1,4,69,0,0,0,0,1,1,3,32.7153292,-117.1572551,0,0,55,55
0,17,39,10,5500,6,7,30,5,4,1000,0,62.5,0,4,292,0,163,599.3333333333,3.3333333333,1,0,3,40.1105875,-88.2072697,0,20,0,0
