,Count_update,Count_comment,Count_funder,Count_photo,Amount_goal,Start_month,End_month,Duration,Min_perk,No_min_perk,Max_perk,No_max_perk,Median_perk,No_med_perk,Total_perk,FB_like,FB_talking,Youtube_avg_duration,Youtube_avg_view_count,Youtube_avg_rating,US,newtype,status,lat,lon,recoded_country,Mintotal,Maxtotal,Mediantotal
0,1,10,21,3.0,10000,5,6,40.0,5,0,2500,0,62.5,0,8,0,0,195.0,2223.0,5.0,1,0,3,36.974117100000001,-122.03079630000001,0,0,0,0.0
1,3,10,21,2.0,1350,3,4,27.0,25,13,100,5,62.5,0,2,0,0,0.0,0.0,0.0,1,1,1,39.290384799999998,-76.612189299999997,0,325,500,0.0
2,0,9,25,0.0,24000,10,12,45.0,1,1,180,1,64.0,0,13,0,0,80.5,3331.0,2.5,0,0,3,47.497911999999999,19.040234999999999,1,1,180,0.0
3,33,113,16,2.0,300000,9,10,45.0,5,0,10000,0,159.0,0,13,0,0,389.0,483.0,5.0,1,0,3,41.694819299999999,-73.110665499999996,0,0,0,0.0
4,7,81,79,5.0,10000,8,9,30.0,10,3,45,0,19.0,0,10,0,0,357.60000000000002,661190.25,4.4727605349999999,1,0,3,40.440624800000002,-79.995886400000003,0,30,0,0.0
5,2,5,14,4.0,3000,6,6,18.0,2,1,550,1,85.0,0,8,0,0,0.0,0.0,0.0,1,0,3,39.737566999999999,-104.98471790000001,0,2,550,0.0
6,9,15,11,34.0,77500,11,1,46.0,10,2,50000,0,300.0,0,12,0,0,40.0,89.0,0.0,1,1,3,32.715329199999999,-117.1572551,0,20,0,0.0
7,0,13,30,3.0,100000,5,6,32.0,1,1,7500,0,112.5,0,10,0,0,0.0,0.0,0.0,1,0,3,25.790654,-80.130045499999994,0,1,0,0.0
8,3,7,32,2.0,230000,5,7,60.0,10,7,10000,0,300.0,0,8,260,0,0.0,0.0,0.0,0,0,3,45.2733153,-66.0633081,2,70,0,0.0
9,0,17,15,1.0,100000,11,1,46.0,50,0,4999,0,999.0,0,7,603,185,252.0,1348.0,5.0,1,0,3,25.7889689,-80.226439299999996,0,0,0,0.0
10,0,17,34,0.0,10000,11,1,47.0,1,1,10000,0,60.0,0,6,0,0,0.0,0.0,0.0,1,0,3,28.599999799999999,-81.339235200000005,0,1,0,0.0
11,1,2,12,0.0,3000,12,1,33.0,5,0,300,1,17.0,4,7,0,0,0.0,0.0,0.0,1,0,3,30.267153,-97.743060799999995,0,0,300,68.0
