RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG	OBP	SLG	OPS
1	Aybar	LAA	SS	12	47	3	17	3	0	0	3	0	4	4	0	0.362	0.362	0.426	0.787
2	Izturis	LAA	3B	20	81	8	25	7	0	2	8	6	14	2	2	0.309	0.356	0.469	0.825
3	Kendrick	LAA	2B	26	104	19	32	6	1	6	12	11	22	1	0	0.308	0.385	0.558	0.942
4	Callaspo	LAA	3B	24	89	13	27	3	0	2	8	12	10	0	0	0.303	0.386	0.404	0.791
5	Bourjos	LAA	CF	26	90	10	27	5	4	2	9	5	28	2	4	0.3	0.333	0.511	0.844
6	Conger	LAA	C	14	44	6	12	2	0	2	9	3	9	0	0	0.273	0.333	0.455	0.788
7	Abreu	LAA	RF	25	89	12	23	6	0	1	8	22	21	2	1	0.258	0.405	0.36	0.765
8	Amarista	LAA	2B	3	8	0	2	1	0	0	3	1	3	0	0	0.25	0.3	0.375	0.675
8	Trumbo	LAA	3B	23	84	11	21	5	0	4	13	2	21	2	0	0.25	0.276	0.452	0.728
10	Hunter	LAA	CF	26	103	8	22	2	0	3	11	10	24	1	0	0.214	0.287	0.32	0.607
11	Wells	LAA	CF	25	105	10	18	2	1	1	6	5	21	0	1	0.171	0.207	0.238	0.445
12	Mathis	LAA	C	13	46	3	7	3	0	0	4	1	16	0	0	0.152	0.167	0.217	0.384
14	Wilson	LAA	C	5	8	0	1	0	0	0	0	1	2	0	0	0.125	0.222	0.125	0.347
